cod,name,generation,status,species,form,type1,type2,height_m,weight_kg,total,hp,attack,defense,spatk,spdef,speed,img
129,Magikarp,1,Normal,Fish Pokémon,,Water,,0.9,10.0,200,20,10,55,15,20,80,https://img.pokemondb.net/sprites/home/normal/magikarp.png
130,Gyarados,1,Normal,Atrocious Pokémon,,Water,Flying,6.5,235.0,540,95,125,79,60,100,81,https://img.pokemondb.net/sprites/home/normal/gyarados.png
130,Gyarados,1,Normal,Atrocious Pokémon,Mega Gyarados,Water,Dark,6.5,305.0,640,95,155,109,70,130,81,https://img.pokemondb.net/sprites/home/normal/gyarados-mega.png
131,Lapras,1,Normal,Transport Pokémon,,Water,Ice,2.5,220.0,535,130,85,80,85,95,60,https://img.pokemondb.net/sprites/home/normal/lapras.png
132,Ditto,1,Normal,Transform Pokémon,,Normal,,0.3,4.0,288,48,48,48,48,48,48,https://img.pokemondb.net/sprites/home/normal/ditto.png
133,Eevee,1,Normal,Evolution Pokémon,,Normal,,0.3,6.5,325,55,55,50,45,65,55,https://img.pokemondb.net/sprites/home/normal/eevee.png
133,Eevee,1,Normal,Evolution Pokémon,Partner Eevee,Normal,,0.3,6.5,435,65,75,70,65,85,75,https://img.pokemondb.net/sprites/home/normal/eevee-lets-go.png
134,Vaporeon,1,Normal,Bubble Jet Pokémon,,Water,,1.0,29.0,525,130,65,60,110,95,65,https://img.pokemondb.net/sprites/home/normal/vaporeon.png
135,Jolteon,1,Normal,Lightning Pokémon,,Electric,,0.8,24.5,525,65,65,60,110,95,130,https://img.pokemondb.net/sprites/home/normal/jolteon.png
136,Flareon,1,Normal,Flame Pokémon,,Fire,,0.9,25.0,525,65,130,60,95,110,65,https://img.pokemondb.net/sprites/home/normal/flareon.png
137,Porygon,1,Normal,Virtual Pokémon,,Normal,,0.8,36.5,395,65,60,70,85,75,40,https://img.pokemondb.net/sprites/home/normal/porygon.png
138,Omanyte,1,Normal,Spiral Pokémon,,Rock,Water,0.4,7.5,355,35,40,100,90,55,35,https://img.pokemondb.net/sprites/home/normal/omanyte.png
139,Omastar,1,Normal,Spiral Pokémon,,Rock,Water,1.0,35.0,495,70,60,125,115,70,55,https://img.pokemondb.net/sprites/home/normal/omastar.png
140,Kabuto,1,Normal,Shellfish Pokémon,,Rock,Water,0.5,11.5,355,30,80,90,55,45,55,https://img.pokemondb.net/sprites/home/normal/kabuto.png
141,Kabutops,1,Normal,Shellfish Pokémon,,Rock,Water,1.3,40.5,495,60,115,105,65,70,80,https://img.pokemondb.net/sprites/home/normal/kabutops.png
142,Aerodactyl,1,Normal,Fossil Pokémon,,Rock,Flying,1.8,59.0,515,80,105,65,60,75,130,https://img.pokemondb.net/sprites/home/normal/aerodactyl.png
142,Aerodactyl,1,Normal,Fossil Pokémon,Mega Aerodactyl,Rock,Flying,2.1,79.0,615,80,135,85,70,95,150,https://img.pokemondb.net/sprites/home/normal/aerodactyl-mega.png
143,Snorlax,1,Normal,Sleeping Pokémon,,Normal,,2.1,460.0,540,160,110,65,65,110,30,https://img.pokemondb.net/sprites/home/normal/snorlax.png
144,Articuno,1,Sub Legendary,Freeze Pokémon,,Ice,Flying,1.7,55.4,580,90,85,100,95,125,85,https://img.pokemondb.net/sprites/home/normal/articuno.png
145,Zapdos,1,Sub Legendary,Electric Pokémon,,Electric,Flying,1.6,52.6,580,90,90,85,125,90,100,https://img.pokemondb.net/sprites/home/normal/zapdos.png
146,Moltres,1,Sub Legendary,Flame Pokémon,,Fire,Flying,2.0,60.0,580,90,100,90,125,85,90,https://img.pokemondb.net/sprites/home/normal/moltres.png
147,Dratini,1,Normal,Dragon Pokémon,,Dragon,,1.8,3.3,300,41,64,45,50,50,50,https://img.pokemondb.net/sprites/home/normal/dratini.png
148,Dragonair,1,Normal,Dragon Pokémon,,Dragon,,4.0,16.5,420,61,84,65,70,70,70,https://img.pokemondb.net/sprites/home/normal/dragonair.png
149,Dragonite,1,Normal,Dragon Pokémon,,Dragon,Flying,2.2,210.0,600,91,134,95,100,100,80,https://img.pokemondb.net/sprites/home/normal/dragonite.png
150,Mewtwo,1,Legendary,Genetic Pokémon,,Psychic,,2.0,122.0,680,106,110,90,154,90,130,https://img.pokemondb.net/sprites/home/normal/mewtwo.png
150,Mewtwo,1,Legendary,Genetic Pokémon,Mega Mewtwo X,Psychic,Fighting,2.3,127.0,780,106,190,100,154,100,130,https://img.pokemondb.net/sprites/home/normal/mewtwo-mega-x.png
150,Mewtwo,1,Legendary,Genetic Pokémon,Mega Mewtwo Y,Psychic,,1.5,33.0,780,106,150,70,194,120,140,https://img.pokemondb.net/sprites/home/normal/mewtwo-mega-y.png
151,Mew,1,Mythical,New Species Pokémon,,Psychic,,0.4,4.0,600,100,100,100,100,100,100,https://img.pokemondb.net/sprites/home/normal/mew.png
152,Chikorita,2,Normal,Leaf Pokémon,,Grass,,0.9,6.4,318,45,49,65,49,65,45,https://img.pokemondb.net/sprites/home/normal/chikorita.png
153,Bayleef,2,Normal,Leaf Pokémon,,Grass,,1.2,15.8,405,60,62,80,63,80,60,https://img.pokemondb.net/sprites/home/normal/bayleef.png
154,Meganium,2,Normal,Herb Pokémon,,Grass,,1.8,100.5,525,80,82,100,83,100,80,https://img.pokemondb.net/sprites/home/normal/meganium.png
155,Cyndaquil,2,Normal,Fire Mouse Pokémon,,Fire,,0.5,7.9,309,39,52,43,60,50,65,https://img.pokemondb.net/sprites/home/normal/cyndaquil.png
156,Quilava,2,Normal,Volcano Pokémon,,Fire,,0.9,19.0,405,58,64,58,80,65,80,https://img.pokemondb.net/sprites/home/normal/quilava.png
157,Typhlosion,2,Normal,Volcano Pokémon,,Fire,,1.7,79.5,534,78,84,78,109,85,100,https://img.pokemondb.net/sprites/home/normal/typhlosion.png
158,Totodile,2,Normal,Big Jaw Pokémon,,Water,,0.6,9.5,314,50,65,64,44,48,43,https://img.pokemondb.net/sprites/home/normal/totodile.png
159,Croconaw,2,Normal,Big Jaw Pokémon,,Water,,1.1,25.0,405,65,80,80,59,63,58,https://img.pokemondb.net/sprites/home/normal/croconaw.png
160,Feraligatr,2,Normal,Big Jaw Pokémon,,Water,,2.3,88.8,530,85,105,100,79,83,78,https://img.pokemondb.net/sprites/home/normal/feraligatr.png
161,Sentret,2,Normal,Scout Pokémon,,Normal,,0.8,6.0,215,35,46,34,35,45,20,https://img.pokemondb.net/sprites/home/normal/sentret.png
162,Furret,2,Normal,Long Body Pokémon,,Normal,,1.8,32.5,415,85,76,64,45,55,90,https://img.pokemondb.net/sprites/home/normal/furret.png
163,Hoothoot,2,Normal,Owl Pokémon,,Normal,Flying,0.7,21.2,262,60,30,30,36,56,50,https://img.pokemondb.net/sprites/home/normal/hoothoot.png
164,Noctowl,2,Normal,Owl Pokémon,,Normal,Flying,1.6,40.8,452,100,50,50,86,96,70,https://img.pokemondb.net/sprites/home/normal/noctowl.png
165,Ledyba,2,Normal,Five Star Pokémon,,Bug,Flying,1.0,10.8,265,40,20,30,40,80,55,https://img.pokemondb.net/sprites/home/normal/ledyba.png
166,Ledian,2,Normal,Five Star Pokémon,,Bug,Flying,1.4,35.6,390,55,35,50,55,110,85,https://img.pokemondb.net/sprites/home/normal/ledian.png
167,Spinarak,2,Normal,String Spit Pokémon,,Bug,Poison,0.5,8.5,250,40,60,40,40,40,30,https://img.pokemondb.net/sprites/home/normal/spinarak.png
168,Ariados,2,Normal,Long Leg Pokémon,,Bug,Poison,1.1,33.5,400,70,90,70,60,70,40,https://img.pokemondb.net/sprites/home/normal/ariados.png
169,Crobat,2,Normal,Bat Pokémon,,Poison,Flying,1.8,75.0,535,85,90,80,70,80,130,https://img.pokemondb.net/sprites/home/normal/crobat.png
170,Chinchou,2,Normal,Angler Pokémon,,Water,Electric,0.5,12.0,330,75,38,38,56,56,67,https://img.pokemondb.net/sprites/home/normal/chinchou.png
171,Lanturn,2,Normal,Light Pokémon,,Water,Electric,1.2,22.5,460,125,58,58,76,76,67,https://img.pokemondb.net/sprites/home/normal/lanturn.png
172,Pichu,2,Normal,Tiny Mouse Pokémon,,Electric,,0.3,2.0,205,20,40,15,35,35,60,https://img.pokemondb.net/sprites/home/normal/pichu.png
173,Cleffa,2,Normal,Star Shape Pokémon,,Fairy,,0.3,3.0,218,50,25,28,45,55,15,https://img.pokemondb.net/sprites/home/normal/cleffa.png
174,Igglybuff,2,Normal,Balloon Pokémon,,Normal,Fairy,0.3,1.0,210,90,30,15,40,20,15,https://img.pokemondb.net/sprites/home/normal/igglybuff.png
175,Togepi,2,Normal,Spike Ball Pokémon,,Fairy,,0.3,1.5,245,35,20,65,40,65,20,https://img.pokemondb.net/sprites/home/normal/togepi.png
176,Togetic,2,Normal,Happiness Pokémon,,Fairy,Flying,0.6,3.2,405,55,40,85,80,105,40,https://img.pokemondb.net/sprites/home/normal/togetic.png
177,Natu,2,Normal,Tiny Bird Pokémon,,Psychic,Flying,0.2,2.0,320,40,50,45,70,45,70,https://img.pokemondb.net/sprites/home/normal/natu.png
178,Xatu,2,Normal,Mystic Pokémon,,Psychic,Flying,1.5,15.0,470,65,75,70,95,70,95,https://img.pokemondb.net/sprites/home/normal/xatu.png
179,Mareep,2,Normal,Wool Pokémon,,Electric,,0.6,7.8,280,55,40,40,65,45,35,https://img.pokemondb.net/sprites/home/normal/mareep.png
180,Flaaffy,2,Normal,Wool Pokémon,,Electric,,0.8,13.3,365,70,55,55,80,60,45,https://img.pokemondb.net/sprites/home/normal/flaaffy.png
181,Ampharos,2,Normal,Light Pokémon,,Electric,,1.4,61.5,510,90,75,85,115,90,55,https://img.pokemondb.net/sprites/home/normal/ampharos.png
181,Ampharos,2,Normal,Light Pokémon,Mega Ampharos,Electric,Dragon,1.4,61.5,610,90,95,105,165,110,45,https://img.pokemondb.net/sprites/home/normal/ampharos-mega.png
182,Bellossom,2,Normal,Flower Pokémon,,Grass,,0.4,5.8,490,75,80,95,90,100,50,https://img.pokemondb.net/sprites/home/normal/bellossom.png
183,Marill,2,Normal,Aqua Mouse Pokémon,,Water,Fairy,0.4,8.5,250,70,20,50,20,50,40,https://img.pokemondb.net/sprites/home/normal/marill.png
184,Azumarill,2,Normal,Aqua Rabbit Pokémon,,Water,Fairy,0.8,28.5,420,100,50,80,60,80,50,https://img.pokemondb.net/sprites/home/normal/azumarill.png
185,Sudowoodo,2,Normal,Imitation Pokémon,,Rock,,1.2,38.0,410,70,100,115,30,65,30,https://img.pokemondb.net/sprites/home/normal/sudowoodo.png
186,Politoed,2,Normal,Frog Pokémon,,Water,,1.1,33.9,500,90,75,75,90,100,70,https://img.pokemondb.net/sprites/home/normal/politoed.png
187,Hoppip,2,Normal,Cottonweed Pokémon,,Grass,Flying,0.4,0.5,250,35,35,40,35,55,50,https://img.pokemondb.net/sprites/home/normal/hoppip.png
188,Skiploom,2,Normal,Cottonweed Pokémon,,Grass,Flying,0.6,1.0,340,55,45,50,45,65,80,https://img.pokemondb.net/sprites/home/normal/skiploom.png
189,Jumpluff,2,Normal,Cottonweed Pokémon,,Grass,Flying,0.8,3.0,460,75,55,70,55,95,110,https://img.pokemondb.net/sprites/home/normal/jumpluff.png
190,Aipom,2,Normal,Long Tail Pokémon,,Normal,,0.8,11.5,360,55,70,55,40,55,85,https://img.pokemondb.net/sprites/home/normal/aipom.png
191,Sunkern,2,Normal,Seed Pokémon,,Grass,,0.3,1.8,180,30,30,30,30,30,30,https://img.pokemondb.net/sprites/home/normal/sunkern.png
192,Sunflora,2,Normal,Sun Pokémon,,Grass,,0.8,8.5,425,75,75,55,105,85,30,https://img.pokemondb.net/sprites/home/normal/sunflora.png
193,Yanma,2,Normal,Clear Wing Pokémon,,Bug,Flying,1.2,38.0,390,65,65,45,75,45,95,https://img.pokemondb.net/sprites/home/normal/yanma.png
194,Wooper,2,Normal,Water Fish Pokémon,,Water,Ground,0.4,8.5,210,55,45,45,25,25,15,https://img.pokemondb.net/sprites/home/normal/wooper.png
195,Quagsire,2,Normal,Water Fish Pokémon,,Water,Ground,1.4,75.0,430,95,85,85,65,65,35,https://img.pokemondb.net/sprites/home/normal/quagsire.png
196,Espeon,2,Normal,Sun Pokémon,,Psychic,,0.9,26.5,525,65,65,60,130,95,110,https://img.pokemondb.net/sprites/home/normal/espeon.png
197,Umbreon,2,Normal,Moonlight Pokémon,,Dark,,1.0,27.0,525,95,65,110,60,130,65,https://img.pokemondb.net/sprites/home/normal/umbreon.png
198,Murkrow,2,Normal,Darkness Pokémon,,Dark,Flying,0.5,2.1,405,60,85,42,85,42,91,https://img.pokemondb.net/sprites/home/normal/murkrow.png
199,Slowking,2,Normal,Royal Pokémon,,Water,Psychic,2.0,79.5,490,95,75,80,100,110,30,https://img.pokemondb.net/sprites/home/normal/slowking.png
200,Misdreavus,2,Normal,Screech Pokémon,,Ghost,,0.7,1.0,435,60,60,60,85,85,85,https://img.pokemondb.net/sprites/home/normal/misdreavus.png
201,Unown,2,Normal,Symbol Pokémon,,Psychic,,0.5,5.0,336,48,72,48,72,48,48,https://img.pokemondb.net/sprites/home/normal/unown.png
202,Wobbuffet,2,Normal,Patient Pokémon,,Psychic,,1.3,28.5,405,190,33,58,33,58,33,https://img.pokemondb.net/sprites/home/normal/wobbuffet.png
203,Girafarig,2,Normal,Long Neck Pokémon,,Normal,Psychic,1.5,41.5,455,70,80,65,90,65,85,https://img.pokemondb.net/sprites/home/normal/girafarig.png
204,Pineco,2,Normal,Bagworm Pokémon,,Bug,,0.6,7.2,290,50,65,90,35,35,15,https://img.pokemondb.net/sprites/home/normal/pineco.png
205,Forretress,2,Normal,Bagworm Pokémon,,Bug,Steel,1.2,125.8,465,75,90,140,60,60,40,https://img.pokemondb.net/sprites/home/normal/forretress.png
206,Dunsparce,2,Normal,Land Snake Pokémon,,Normal,,1.5,14.0,415,100,70,70,65,65,45,https://img.pokemondb.net/sprites/home/normal/dunsparce.png
207,Gligar,2,Normal,FlyScorpion Pokémon,,Ground,Flying,1.1,64.8,430,65,75,105,35,65,85,https://img.pokemondb.net/sprites/home/normal/gligar.png
208,Steelix,2,Normal,Iron Snake Pokémon,,Steel,Ground,9.2,400.0,510,75,85,200,55,65,30,https://img.pokemondb.net/sprites/home/normal/steelix.png
208,Steelix,2,Normal,Iron Snake Pokémon,Mega Steelix,Steel,Ground,10.5,740.0,610,75,125,230,55,95,30,https://img.pokemondb.net/sprites/home/normal/steelix-mega.png
209,Snubbull,2,Normal,Fairy Pokémon,,Fairy,,0.6,7.8,300,60,80,50,40,40,30,https://img.pokemondb.net/sprites/home/normal/snubbull.png
210,Granbull,2,Normal,Fairy Pokémon,,Fairy,,1.4,48.7,450,90,120,75,60,60,45,https://img.pokemondb.net/sprites/home/normal/granbull.png
211,Qwilfish,2,Normal,Balloon Pokémon,,Water,Poison,0.5,3.9,440,65,95,85,55,55,85,https://img.pokemondb.net/sprites/home/normal/qwilfish.png
212,Scizor,2,Normal,Pincer Pokémon,,Bug,Steel,1.8,118.0,500,70,130,100,55,80,65,https://img.pokemondb.net/sprites/home/normal/scizor.png
212,Scizor,2,Normal,Pincer Pokémon,Mega Scizor,Bug,Steel,2.0,125.0,600,70,150,140,65,100,75,https://img.pokemondb.net/sprites/home/normal/scizor-mega.png
213,Shuckle,2,Normal,Mold Pokémon,,Bug,Rock,0.6,20.5,505,20,10,230,10,230,5,https://img.pokemondb.net/sprites/home/normal/shuckle.png
214,Heracross,2,Normal,Single Horn Pokémon,,Bug,Fighting,1.5,54.0,500,80,125,75,40,95,85,https://img.pokemondb.net/sprites/home/normal/heracross.png
214,Heracross,2,Normal,Single Horn Pokémon,Mega Heracross,Bug,Fighting,1.7,62.5,600,80,185,115,40,105,75,https://img.pokemondb.net/sprites/home/normal/heracross-mega.png
215,Sneasel,2,Normal,Sharp Claw Pokémon,,Dark,Ice,0.9,28.0,430,55,95,55,35,75,115,https://img.pokemondb.net/sprites/home/normal/sneasel.png
216,Teddiursa,2,Normal,Little Bear Pokémon,,Normal,,0.6,8.8,330,60,80,50,50,50,40,https://img.pokemondb.net/sprites/home/normal/teddiursa.png
217,Ursaring,2,Normal,Hibernator Pokémon,,Normal,,1.8,125.8,500,90,130,75,75,75,55,https://img.pokemondb.net/sprites/home/normal/ursaring.png
218,Slugma,2,Normal,Lava Pokémon,,Fire,,0.7,35.0,250,40,40,40,70,40,20,https://img.pokemondb.net/sprites/home/normal/slugma.png
219,Magcargo,2,Normal,Lava Pokémon,,Fire,Rock,0.8,55.0,430,60,50,120,90,80,30,https://img.pokemondb.net/sprites/home/normal/magcargo.png
220,Swinub,2,Normal,Pig Pokémon,,Ice,Ground,0.4,6.5,250,50,50,40,30,30,50,https://img.pokemondb.net/sprites/home/normal/swinub.png
221,Piloswine,2,Normal,Swine Pokémon,,Ice,Ground,1.1,55.8,450,100,100,80,60,60,50,https://img.pokemondb.net/sprites/home/normal/piloswine.png
222,Corsola,2,Normal,Coral Pokémon,,Water,Rock,0.6,5.0,410,65,55,95,65,95,35,https://img.pokemondb.net/sprites/home/normal/corsola.png
222,Corsola,2,Normal,Coral Pokémon,Galarian Corsola,Ghost,,0.6,0.5,410,60,55,100,65,100,30,https://img.pokemondb.net/sprites/home/normal/corsola-galarian.png
223,Remoraid,2,Normal,Jet Pokémon,,Water,,0.6,12.0,300,35,65,35,65,35,65,https://img.pokemondb.net/sprites/home/normal/remoraid.png
224,Octillery,2,Normal,Jet Pokémon,,Water,,0.9,28.5,480,75,105,75,105,75,45,https://img.pokemondb.net/sprites/home/normal/octillery.png
225,Delibird,2,Normal,Delivery Pokémon,,Ice,Flying,0.9,16.0,330,45,55,45,65,45,75,https://img.pokemondb.net/sprites/home/normal/delibird.png
226,Mantine,2,Normal,Kite Pokémon,,Water,Flying,2.1,220.0,485,85,40,70,80,140,70,https://img.pokemondb.net/sprites/home/normal/mantine.png
227,Skarmory,2,Normal,Armor Bird Pokémon,,Steel,Flying,1.7,50.5,465,65,80,140,40,70,70,https://img.pokemondb.net/sprites/home/normal/skarmory.png
228,Houndour,2,Normal,Dark Pokémon,,Dark,Fire,0.6,10.8,330,45,60,30,80,50,65,https://img.pokemondb.net/sprites/home/normal/houndour.png
229,Houndoom,2,Normal,Dark Pokémon,,Dark,Fire,1.4,35.0,500,75,90,50,110,80,95,https://img.pokemondb.net/sprites/home/normal/houndoom.png
229,Houndoom,2,Normal,Dark Pokémon,Mega Houndoom,Dark,Fire,1.9,49.5,600,75,90,90,140,90,115,https://img.pokemondb.net/sprites/home/normal/houndoom-mega.png
230,Kingdra,2,Normal,Dragon Pokémon,,Water,Dragon,1.8,152.0,540,75,95,95,95,95,85,https://img.pokemondb.net/sprites/home/normal/kingdra.png
231,Phanpy,2,Normal,Long Nose Pokémon,,Ground,,0.5,33.5,330,90,60,60,40,40,40,https://img.pokemondb.net/sprites/home/normal/phanpy.png
232,Donphan,2,Normal,Armor Pokémon,,Ground,,1.1,120.0,500,90,120,120,60,60,50,https://img.pokemondb.net/sprites/home/normal/donphan.png
233,Porygon2,2,Normal,Virtual Pokémon,,Normal,,0.6,32.5,515,85,80,90,105,95,60,https://img.pokemondb.net/sprites/home/normal/porygon2.png
234,Stantler,2,Normal,Big Horn Pokémon,,Normal,,1.4,71.2,465,73,95,62,85,65,85,https://img.pokemondb.net/sprites/home/normal/stantler.png
235,Smeargle,2,Normal,Painter Pokémon,,Normal,,1.2,58.0,250,55,20,35,20,45,75,https://img.pokemondb.net/sprites/home/normal/smeargle.png
236,Tyrogue,2,Normal,Scuffle Pokémon,,Fighting,,0.7,21.0,210,35,35,35,35,35,35,https://img.pokemondb.net/sprites/home/normal/tyrogue.png
237,Hitmontop,2,Normal,Handstand Pokémon,,Fighting,,1.4,48.0,455,50,95,95,35,110,70,https://img.pokemondb.net/sprites/home/normal/hitmontop.png
238,Smoochum,2,Normal,Kiss Pokémon,,Ice,Psychic,0.4,6.0,305,45,30,15,85,65,65,https://img.pokemondb.net/sprites/home/normal/smoochum.png
239,Elekid,2,Normal,Electric Pokémon,,Electric,,0.6,23.5,360,45,63,37,65,55,95,https://img.pokemondb.net/sprites/home/normal/elekid.png
240,Magby,2,Normal,Live Coal Pokémon,,Fire,,0.7,21.4,365,45,75,37,70,55,83,https://img.pokemondb.net/sprites/home/normal/magby.png
241,Miltank,2,Normal,Milk Cow Pokémon,,Normal,,1.2,75.5,490,95,80,105,40,70,100,https://img.pokemondb.net/sprites/home/normal/miltank.png
242,Blissey,2,Normal,Happiness Pokémon,,Normal,,1.5,46.8,540,255,10,10,75,135,55,https://img.pokemondb.net/sprites/home/normal/blissey.png
243,Raikou,2,Sub Legendary,Thunder Pokémon,,Electric,,1.9,178.0,580,90,85,75,115,100,115,https://img.pokemondb.net/sprites/home/normal/raikou.png
244,Entei,2,Sub Legendary,Volcano Pokémon,,Fire,,2.1,198.0,580,115,115,85,90,75,100,https://img.pokemondb.net/sprites/home/normal/entei.png
245,Suicune,2,Sub Legendary,Aurora Pokémon,,Water,,2.0,187.0,580,100,75,115,90,115,85,https://img.pokemondb.net/sprites/home/normal/suicune.png
246,Larvitar,2,Normal,Rock Skin Pokémon,,Rock,Ground,0.6,72.0,300,50,64,50,45,50,41,https://img.pokemondb.net/sprites/home/normal/larvitar.png
247,Pupitar,2,Normal,Hard Shell Pokémon,,Rock,Ground,1.2,152.0,410,70,84,70,65,70,51,https://img.pokemondb.net/sprites/home/normal/pupitar.png
248,Tyranitar,2,Normal,Armor Pokémon,,Rock,Dark,2.0,202.0,600,100,134,110,95,100,61,https://img.pokemondb.net/sprites/home/normal/tyranitar.png
248,Tyranitar,2,Normal,Armor Pokémon,Mega Tyranitar,Rock,Dark,2.5,255.0,700,100,164,150,95,120,71,https://img.pokemondb.net/sprites/home/normal/tyranitar-mega.png
249,Lugia,2,Legendary,Diving Pokémon,,Psychic,Flying,5.2,216.0,680,106,90,130,90,154,110,https://img.pokemondb.net/sprites/home/normal/lugia.png
250,Ho-oh,2,Legendary,Rainbow Pokémon,,Fire,Flying,3.8,199.0,680,106,130,90,110,154,90,https://img.pokemondb.net/sprites/home/normal/ho-oh.png
251,Celebi,2,Mythical,Time Travel Pokémon,,Psychic,Grass,0.6,5.0,600,100,100,100,100,100,100,https://img.pokemondb.net/sprites/home/normal/celebi.png
252,Treecko,3,Normal,Wood Gecko Pokémon,,Grass,,0.5,5.0,310,40,45,35,65,55,70,https://img.pokemondb.net/sprites/home/normal/treecko.png
253,Grovyle,3,Normal,Wood Gecko Pokémon,,Grass,,0.9,21.6,405,50,65,45,85,65,95,https://img.pokemondb.net/sprites/home/normal/grovyle.png
254,Sceptile,3,Normal,Forest Pokémon,,Grass,,1.7,52.2,530,70,85,65,105,85,120,https://img.pokemondb.net/sprites/home/normal/sceptile.png
254,Sceptile,3,Normal,Forest Pokémon,Mega Sceptile,Grass,Dragon,1.9,55.2,630,70,110,75,145,85,145,https://img.pokemondb.net/sprites/home/normal/sceptile-mega.png
255,Torchic,3,Normal,Chick Pokémon,,Fire,,0.4,2.5,310,45,60,40,70,50,45,https://img.pokemondb.net/sprites/home/normal/torchic.png
256,Combusken,3,Normal,Young Fowl Pokémon,,Fire,Fighting,0.9,19.5,405,60,85,60,85,60,55,https://img.pokemondb.net/sprites/home/normal/combusken.png
257,Blaziken,3,Normal,Blaze Pokémon,,Fire,Fighting,1.9,52.0,530,80,120,70,110,70,80,https://img.pokemondb.net/sprites/home/normal/blaziken.png
257,Blaziken,3,Normal,Blaze Pokémon,Mega Blaziken,Fire,Fighting,1.9,52.0,630,80,160,80,130,80,100,https://img.pokemondb.net/sprites/home/normal/blaziken-mega.png
258,Mudkip,3,Normal,Mud Fish Pokémon,,Water,,0.4,7.6,310,50,70,50,50,50,40,https://img.pokemondb.net/sprites/home/normal/mudkip.png
259,Marshtomp,3,Normal,Mud Fish Pokémon,,Water,Ground,0.7,28.0,405,70,85,70,60,70,50,https://img.pokemondb.net/sprites/home/normal/marshtomp.png
260,Swampert,3,Normal,Mud Fish Pokémon,,Water,Ground,1.5,81.9,535,100,110,90,85,90,60,https://img.pokemondb.net/sprites/home/normal/swampert.png
260,Swampert,3,Normal,Mud Fish Pokémon,Mega Swampert,Water,Ground,1.9,102.0,635,100,150,110,95,110,70,https://img.pokemondb.net/sprites/home/normal/swampert-mega.png
261,Poochyena,3,Normal,Bite Pokémon,,Dark,,0.5,13.6,220,35,55,35,30,30,35,https://img.pokemondb.net/sprites/home/normal/poochyena.png
262,Mightyena,3,Normal,Bite Pokémon,,Dark,,1.0,37.0,420,70,90,70,60,60,70,https://img.pokemondb.net/sprites/home/normal/mightyena.png
263,Zigzagoon,3,Normal,TinyRaccoon Pokémon,,Normal,,0.4,17.5,240,38,30,41,30,41,60,https://img.pokemondb.net/sprites/home/normal/zigzagoon.png
263,Zigzagoon,3,Normal,Tiny Raccoon Pokémon,Galarian Zigzagoon,Dark,Normal,0.4,17.5,240,38,30,41,30,41,60,https://img.pokemondb.net/sprites/home/normal/zigzagoon-galarian.png
264,Linoone,3,Normal,Rushing Pokémon,,Normal,,0.5,32.5,420,78,70,61,50,61,100,https://img.pokemondb.net/sprites/home/normal/linoone.png
264,Linoone,3,Normal,Rushing Pokémon,Galarian Linoone,Dark,Normal,0.5,32.5,420,78,70,61,50,61,100,https://img.pokemondb.net/sprites/home/normal/linoone-galarian.png
265,Wurmple,3,Normal,Worm Pokémon,,Bug,,0.3,3.6,195,45,45,35,20,30,20,https://img.pokemondb.net/sprites/home/normal/wurmple.png
266,Silcoon,3,Normal,Cocoon Pokémon,,Bug,,0.6,10.0,205,50,35,55,25,25,15,https://img.pokemondb.net/sprites/home/normal/silcoon.png
267,Beautifly,3,Normal,Butterfly Pokémon,,Bug,Flying,1.0,28.4,395,60,70,50,100,50,65,https://img.pokemondb.net/sprites/home/normal/beautifly.png
268,Cascoon,3,Normal,Cocoon Pokémon,,Bug,,0.7,11.5,205,50,35,55,25,25,15,https://img.pokemondb.net/sprites/home/normal/cascoon.png
269,Dustox,3,Normal,Poison Moth Pokémon,,Bug,Poison,1.2,31.6,385,60,50,70,50,90,65,https://img.pokemondb.net/sprites/home/normal/dustox.png
270,Lotad,3,Normal,Water Weed Pokémon,,Water,Grass,0.5,2.6,220,40,30,30,40,50,30,https://img.pokemondb.net/sprites/home/normal/lotad.png
271,Lombre,3,Normal,Jolly Pokémon,,Water,Grass,1.2,32.5,340,60,50,50,60,70,50,https://img.pokemondb.net/sprites/home/normal/lombre.png
272,Ludicolo,3,Normal,Carefree Pokémon,,Water,Grass,1.5,55.0,480,80,70,70,90,100,70,https://img.pokemondb.net/sprites/home/normal/ludicolo.png
273,Seedot,3,Normal,Acorn Pokémon,,Grass,,0.5,4.0,220,40,40,50,30,30,30,https://img.pokemondb.net/sprites/home/normal/seedot.png
274,Nuzleaf,3,Normal,Wily Pokémon,,Grass,Dark,1.0,28.0,340,70,70,40,60,40,60,https://img.pokemondb.net/sprites/home/normal/nuzleaf.png
275,Shiftry,3,Normal,Wicked Pokémon,,Grass,Dark,1.3,59.6,480,90,100,60,90,60,80,https://img.pokemondb.net/sprites/home/normal/shiftry.png
276,Taillow,3,Normal,TinySwallow Pokémon,,Normal,Flying,0.3,2.3,270,40,55,30,30,30,85,https://img.pokemondb.net/sprites/home/normal/taillow.png
277,Swellow,3,Normal,Swallow Pokémon,,Normal,Flying,0.7,19.8,455,60,85,60,75,50,125,https://img.pokemondb.net/sprites/home/normal/swellow.png
278,Wingull,3,Normal,Seagull Pokémon,,Water,Flying,0.6,9.5,270,40,30,30,55,30,85,https://img.pokemondb.net/sprites/home/normal/wingull.png
279,Pelipper,3,Normal,Water Bird Pokémon,,Water,Flying,1.2,28.0,440,60,50,100,95,70,65,https://img.pokemondb.net/sprites/home/normal/pelipper.png
